Title,ReleaseYear,Locations,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts
Family Plot,1976,2230 Sacramento Street,"Called ""1001 Franklin"" in the film.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris,102,30,6
Venom,2018,Edinburgh Castle (950 Geary Street),,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,50,36,10
Basic Instinct,1992,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,108,8,10
Looking Season 2 ep 205,2015,160 Church Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,28,5,5
Twisted,2004,The Saloon (1232 Grant Avenue),,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,106,23,3
DEVS,2020,25th btwn Pennsylvania and Indiana,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,,,
Sonic the Hedgehog,2020,California btwn Powell and Front,,"Paramount Overseas Productions, Inc.",Paramount Pictures,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz,108,8,3
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Perlsea Company,Paramount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,Lilli Palmer,16,21,3
The Conversation,1974,Union Square,"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"".",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,19,8,3
The Phone/Jexi,2019,Grant Ave at Green St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,106,23,3
Nash Bridges,2021,California Street at Powell,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,16,6,3
Experiment in Terror,1962,1 Montgomery Street at Post,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,19,8,3
Fearless,1993,400 Montgomery Street,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,108,8,3
Looking Season 2 ep 209,2015,1246 Folsom Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,32,34,10
About a Boy,2014,Broderick from Fulton to McAlister,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,21,36,10
Chance- Season 1 ep103,2016,350 Santa Ana Ave.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,63,41,8
Quitters,2015,Tank Hill Park,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,114,14,11
Chan is Missing,1982,Golden Dragon Restaurant (816 Washington Street at Grant),,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,104,6,3
Golden Gate,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,,,
Venom,2018,Geary St at Leavenworth St,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,50,36,3
Surface,2022,Montgomery Street between Green and Union,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,18,23,3
The Matrix Resurrections,2021,465 California,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,108,8,3
Hulk,2003,Telegraph Hill,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,18,23,3
The Lineup,1958,2090 Jackson Street,,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,102,30,6
Etruscan Smile,2017,225 California Street,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,108,8,3
Sudden Impact,1983,"McDonald's Restaurant (701 3rd Street, SOMA)",,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,31,4,10
Godzilla,2014,Mission & Fremont St,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,108,8,10
"Murder in the First, Season 2",2015,Pennsylvania Avenue at 19th Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,54,26,9
Summertime,2015,Broadway and Taylor St Intersection,,"Creative Monster Productions, Inc.",3 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,107,21,3
I’m A Virgo,2023,"Fairmont Hotel, 950 Mason Street",,Bing Bang Productions Inc,Prime Video,Boots Riley,Boots Riley,Jharrel Jerome,Mike Epps,Carmen Ejogo,16,21,3
DEVS,2020,Pier 7,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,77,8,3
Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)","Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Hello Hooker Productions,Sundance Channel,Doug Pray,Josh Kornbluth,Josh Kornbluth,,,98,13,6
Super Pumped: The Battle for Uber,2022,Larkin Street at Hayes,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,21,36,10
Blue Jasmine,2013,303-305 S. Van Ness,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,53,20,2
Star Trek VI: The Undiscovered Country,1991,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Paramount Pictures,Paramount Pictures,Nicholas Meyer,Nimoy,William Shatner,Leonard Nimoy,George Takei,,,
Jade,1995,Fior d' Italia (601 Union Street at Stockton),,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,106,23,3
Looking,2014,Mr. S Leather,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,32,34,10
Never Die Twice,2001,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Scott / Kelly Films,,Sean A.F. Scott,Sean A.F. Scott & Nancy L. Kelly,Claudia Christian,,,22,9,11
Bullitt,1968,Enrico's Café (504 Broadway),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,106,23,3
DEVS,2020,"Haight Ashbury - Central at Page, Haight at Masonic, Haight at Clayton",,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,25,3,11
This Is Us,2022,Montgomery Street between Broadway and Green,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,3,27,6
"Murder in the First, Season 2",2015,1243 19th Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,54,26,9
Star Trek IV: The Voyage Home,1986,"West Harbor, Marina District",,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,17,13,6
How Stella Got Her Groove Back,1998,Marriot Hotel (55 4th Street at Market),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Kevin Rodney Sullivan,Terry McMillan,Angela Bassett,Taye Diggs,,32,34,10
Goliath- Season 4,2021,Red's Java House - Pier 30,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,31,8,10
Chance- Season 1 ep102,2016,Potomac and Waller,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,26,3,11
Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,102,30,6
San Andreas,2015,AT&T Stadium,two paragliders land on the field of AT&T Park,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,,,
The House on Telegraph Hill,1951,Market Street,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,Valentina Cortese,William Lundigan,108,8,10
Jack,1996,,,American Zoetrope,Buena Vista Pictures,Francis Ford Coppola,James DeMonaco,Robin Williams,Diane Lane,,21,36,10
Shit and Champagne,2020,Montgomery at Green St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,18,23,3
The Parent Trap,1998,Administration Building (Treasure Island),"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Walt Disney Pictures,Buena Vista Pictures,Nancy Meyers,Nancy Meyers,Lindsay Lohan,Dennis Quaid,,36,37,10
Boys and Girls,2000,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,,,
Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,9,12,4
"Looking ""Special""",2016,3079 16th Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,108,8,3
Dawn of the Planet of the Apes,2014,Columbus & Pacific Ave,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,106,6,3
Hereafter,2010,The Final Final (2990 Baker Street),,GT Films,Warner Bros. Pictures,Clint Eastwood,Peter Morgan,Matt Damon,Cecile De France,,14,13,6
Shit and Champagne,2020,Oasis Nightclub - 298 11th St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,32,20,10
The Last Black Man in San Francisco,2019,415 Lyon St/355 Lyon St,,"LBMISF, LLC",A56,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,24,18,11
Americana,2015,3232 Jackson Ave.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,10,31,6
The Presidio,1988,Hayes & Polk Streets (Civic Center),,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,21,36,10
Looking Season 2 ep 203,2015,"Doc's Clock, 2575 Misison Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
The Graduate,1967,San Francisco Zoo (2701 Sloat Blvd.),,Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Katharine Ross,43,16,8
Beautiful Boy,2018,Haight at Masonic,,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,25,3,11
Sweet November,2001,Chrissy Field,Chrissy Field was originally an airfield for the Presidio Army Base.,Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,3,27,6
Chance- Season 1 ep104,2016,11 San Jacinto Ave.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,69,41,8
Quicksilver,1986,Pacific Stock Exchange,,Columbia Pictures Corporation,Columbia Pictures,Thomas Michael Donnelly,Thomas Michael Donnelly,Kevin Bacon,Jami Gertz,Paul Rodriguez,108,8,3
Chance Season 2,2017,Haight St at Ashbury St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,25,3,11
Vertigo,1958,Mission San Juan Bautista (2nd & Mariposa Streets),,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,53,20,9
Chance - Season 1 Pilot,2016,66 Potomac,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,28,3,5
The Graduate,1967,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Katharine Ross,,,
George of the Jungle,1997,First Bank (550 Montgomery Street at Commercial),"Called ""Stanhope Bank"" in the film.",Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,108,6,3
Nash Bridges,2021,Mission Street between 5th Street and 6th Street,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,,,
Looking,2014,The Café at 2369 Market St.,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,38,5,5
Burglar,1987,1400 18th Street,,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,54,26,9
Birth of the Dragon,2016,Waverly Pl between Washington and Sacramento,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,104,6,3
Looking,2014,Golden Gate Park,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,9,12,4
"Looking ""Special""",2016,"Li Po Lounge, 916 Grant Avenue",Li Po Cocktail Lounge was one of the Top 10 Dive Bars in San Francisco in 2011 by SF Weekly,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,104,6,3
Experiment in Terror,1962,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)","The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,108,8,3
The Conversation,1974,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,100,39,11
Chance- Season 1 ep106,2016,McAllister between Leavenworth and Hyde,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,21,36,10
Shang-Chi and the Legend of the Ten Rings,2021,Stockton Tunnel,,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,106,23,3
The Dead Pool,1988,"Nam Yuen Restaurant (740 Washington Street, Chinatown)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,104,6,3
San Andreas,2015,Bay St. at Polk,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,98,32,6
Quitters,2015,Wine Impression,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,11,31,6
GirlBoss,2017,Mission between 19th and 25th St.,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,53,20,2
Looking Season 2 ep 202,2015,1246 Folsom Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,32,34,10
A Taiwanese Tale of Two Cities,2018,Palace of Fine Arts (3301 Lyon Street),,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,17,13,6
Sense8,2015,Van Ness and 12th St.,A couple reminisces on the moment they first fell in love,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,32,20,10
A Night Full of Rain,1978,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,99,23,3
Milk,2008,Duboce Park,,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,28,3,5
"Budding Prospects, Pilot",2017,2007 Franklin Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,102,30,6
Sneakers,1992,Hills Brothers Plaza (The Embarcadero at Harrison),,Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes,Sydney Poitier,Robert Redford,,30,8,10
Joy Luck Club,1993,Hang Ah Alley (Chinatown),,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,104,6,3
Time After Time,1979,Lombard & Fillmore Streets (Marina District),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,17,13,6
The Ten Commandments,1956,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Exteriors of the church were used.,Paramount Pictures,Paramount Pictures,Cecil B. DeMille,"Jesse L. Lasky, Jr.",Charlton Heston,Yul Brynner,Anne Baxter,106,23,3
A Taiwanese Tale of Two Cities,2018,Pier 7,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,77,8,3
Magnum Force,1973,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,86,1,9
The Matrix Resurrections,2021,"Sansome, Sacramento, and California",,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,108,8,3
Etruscan Smile,2017,Chaya / Perry's 132 Embarcadero,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,108,8,3
Sonic the Hedgehog,2020,Grid within Montgomery St; Davis St; Pacific St; Bush St,,"Paramount Overseas Productions, Inc.",Paramount Pictures,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz,3,27,6
Invasion of the Body Snatchers,1978,32 Napier Lane,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,18,23,3
Ant-Man and the Wasp,2018,"Westar Marine Services, Pier 50",,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,14,13,6
Ant-Man,2015,Conzelman Rd at McCollough Rd and down Conzelman Rd.,Aerial shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,,,
When We Rise,2017,City Hall,"Exterior scenes include re-creating the White Night Riots on May 21, 1979 and the Gay Freedom March. Interior scenes included the wedding ceremony for Roma and Diane which had a few Board of Supervisors in the ceremony. The current Clerk for the Board of Supervisors played herself in one of the scenes filmed in the Chambers.",Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,,,
My Big Fat Chinese Christmas,2022,Pier 15 San Francisco,,Hongbao Productions,Hallmark Channel,Jennifer Liao,"Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang",Shannon Chan-Kent,Shannon Kook,Tia Carrere,77,8,3
Foul Play,1978,24th and Castro Streets (Noe Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,84,22,5
San Andreas,2015,Grant between Bush and Market,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,108,8,3
The Conversation,1974,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,33,4,9
The Presidio,1988,Market & 2nd Streets,,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,108,8,10
Can't Stop the Music,1980,101 Henry Adams Place,,EMI Films,Associated Film Distribution (AFD),Nancy Walker,Allan Carr,Ray Simpson,David Hodo,Felipe Rose,33,4,9
Knife Fight,2013,California & Hyde Streets,,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Rob Lowe,Julie Bowen,Jamie Chung,16,21,3
The Towering Inferno,1974,Firestation #38 (California & Laguna),,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,102,30,11
The House on Telegraph Hill,1951,Telegraph Hill,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,Valentina Cortese,William Lundigan,18,23,3
A View to a Kill,1985,Potrero Hill,The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,54,26,9
Experiment in Terror,1962,Roaring Twenties Nightclub (555 Broadway at Columbus),,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,106,23,3
Vegas in Space,1992,3567 18th Street,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,37,20,5
Big Eyes,2014,Palace of Fine Arts,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,17,13,6
The Dead Pool,1988,Carl & Cole Streets (Cole Valley),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,29,3,11
City of Angels,1998,San Francisco Public Library Main Branch (100 Larkin Street),,Atlas Entertainment,Warner Bros. Pictures,Brad Silberling,Dana Stevens,Nicolas Cage,Meg Ryan,,21,36,10
Faces of Death,1978,,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr,,,21,36,10
Joy Luck Club,1993,901 Union Street,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,107,32,3
A Taiwanese Tale of Two Cities,2018,Waverly Place,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,104,6,3
"Looking ""Special""",2016,10th Street between Market & Mission,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,,,
George of the Jungle,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,,,
So I Married an Axe Murderer,1993,St. John's Presbyterian Church (25 Lake Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,4,11,6
